credit_score,age,tenure_years,balance_usd,num_products,has_cr_card,is_active_member,estimated_salary_usd,monthly_spend_usd,transactions_last_month,mobile_app_usage_min_per_day,campaigns_responded,geography,gender,churn
611,46,13,20868.73,5,0,1,19187.62,308.74,21,47,4,France,Male,1
583,18,13,20929.85,3,1,0,71929.98,415.52,3,9,7,France,Female,0
596,18,8,280.23,6,0,1,49076.06,477.93,2,47,2,France,Female,0
689,35,3,28285.21,4,0,1,24756.91,364.57,7,210,0,Germany,Male,0
707,65,13,21938.23,5,0,1,21421.54,14.44,69,36,7,France,Male,1
341,34,19,32585.15,3,0,1,57396.71,345.89,21,22,0,France,Male,1
553,29,11,9035.01,1,1,0,73603.27,561.65,12,71,5,Germany,Female,0
485,31,17,3980.23,4,0,1,50818.14,193.23,7,7,5,France,Male,1
609,22,4,24238.44,5,1,1,40782.79,131.85,14,10,5,France,Female,0
561,31,5,1458.73,2,0,0,61036.6,265.25,10,48,4,Germany,Male,1
623,18,6,20519.08,10,1,1,64752.74,612.56,11,18,2,Spain,Female,0
605,20,6,13816.13,1,1,0,33033.36,520.59,26,57,10,France,Female,1
754,18,16,20016.82,3,1,0,22124.72,727.58,17,42,15,France,Female,0
473,32,16,4412.72,1,0,1,21039.18,43.08,9,57,1,Spain,Male,1
694,18,14,1330.93,2,0,0,23210.5,92.23,32,41,6,Germany,Female,1
569,29,7,16097.93,6,0,1,63621.45,44.77,21,83,7,Spain,Female,0
529,30,6,29556.57,1,0,0,46879.23,96.21,5,58,4,Spain,Female,0
457,37,22,21132.53,7,0,1,23748.85,198.85,26,61,5,Germany,Male,1
552,18,1,25729.25,3,1,1,96023.79,673.79,11,85,2,Germany,Female,1
552,33,7,29882.56,2,1,0,29795.82,465.97,20,70,6,Germany,Male,0
658,35,4,14840.05,1,0,0,39071.98,475.77,4,42,1,France,Male,0
679,18,2,10438.32,6,0,1,44429.24,427.64,4,63,1,Spain,Female,0
649,18,11,5560.72,4,1,0,47388.13,39.38,8,131,0,Germany,Female,1
634,46,16,12320.75,5,0,1,20888.55,615.49,22,48,2,Germany,Male,1
696,18,3,30787.69,8,0,1,50042.38,680.09,7,74,7,Germany,Female,0
619,35,5,214.3,6,0,0,38127.96,41.13,8,48,3,Spain,Male,1
631,18,6,794.86,1,0,0,50582.86,105.92,18,10,2,Spain,Female,1
468,20,19,21306.8,8,0,1,15091.48,153.14,6,66,3,Spain,Female,0
476,19,5,3835.6,2,1,1,39545.19,306.27,13,36,1,Spain,Female,1
561,25,12,49239.05,4,0,1,52814.88,102.58,5,20,1,Germany,Female,0
538,38,3,17626.28,4,0,0,54408.13,258.77,1,37,4,France,Male,0
555,26,2,9166.38,5,0,0,40473.13,369.44,21,37,1,Germany,Female,1
551,38,16,32437.64,8,0,0,104285.87,65.63,24,7,0,Germany,Male,1
544,30,4,22719.94,3,0,0,23925.49,414.25,2,19,5,France,Female,0
551,18,12,9240.31,4,1,0,23335.12,458.51,0,27,2,Germany,Female,0
590,24,2,2364.62,4,0,0,32506.23,133.86,5,41,8,France,Female,0
436,32,6,4681.71,4,0,0,50776.45,593.29,15,23,2,France,Male,0
516,33,12,16559.45,3,0,1,73022.62,272.73,16,48,9,Germany,Male,0
676,18,3,6946.78,5,1,1,27828.72,275.35,12,1,4,Spain,Female,0
572,21,11,8404.63,7,0,1,104473.36,138.91,4,35,4,Spain,Female,0
533,24,9,6231.12,9,1,1,39105.43,295.27,20,4,2,Spain,Female,1
571,32,4,4488.68,2,0,1,16520.39,350.48,12,76,12,Spain,Male,0
713,39,4,19038.82,4,1,0,52773.23,87.03,22,64,5,France,Male,1
650,18,9,15294.41,7,1,0,48264.18,429.63,6,22,2,Germany,Female,1
584,31,2,10734.3,6,0,0,21827.61,394.04,14,12,2,France,Male,0
672,18,15,19196.13,3,0,0,88312.17,15.31,34,20,4,Spain,Female,0
520,21,13,53371.16,6,0,1,23976.59,661.31,7,3,3,Spain,Female,0
523,29,7,23100.99,4,0,1,96944.15,684.55,9,3,1,Spain,Female,1
580,28,6,11707.85,1,0,1,31620.87,597.53,5,88,8,Spain,Female,0
644,28,0,3245.08,2,0,0,31447.58,611.21,13,48,7,Germany,Female,0
552,18,6,22357.08,2,0,0,48839.74,214.51,38,78,0,Germany,Female,1
595,22,4,23293.3,4,0,0,45085.66,326.68,13,185,7,France,Female,0
512,35,10,6251.76,5,0,1,57857.84,139.81,18,10,1,Germany,Male,1
552,22,10,17701.52,5,0,0,62279.8,208.81,31,0,3,Germany,Female,0
545,18,4,19534.67,5,0,0,26823.06,27.06,38,59,2,France,Female,0
588,18,6,2182.12,3,0,1,27689.87,10.54,29,31,2,France,Female,0
516,28,5,10635.21,2,0,1,75146.42,448.46,13,57,0,Germany,Female,1
569,23,7,15593.14,2,0,0,22453.66,777.93,3,59,3,Spain,Female,0
550,40,1,18905.29,2,1,0,85421.07,87.06,22,56,9,Germany,Male,0
778,19,7,7461.82,1,0,0,23569.99,204.4,8,73,0,Spain,Female,0
712,22,0,14866.72,3,0,1,59886.8,229.8,6,27,2,France,Female,0
685,20,6,13224.19,2,1,0,30246.09,216.06,16,106,11,Germany,Female,0
499,18,5,34122.27,3,0,1,65005.73,651.69,58,48,4,France,Female,0
698,39,2,20992.97,8,0,0,36365.41,210.69,37,25,0,Germany,Male,1
